DAY,start time,end time,YEAR,COURSE,MODULE,WEEK
MON,09:00,10:00,1,LM485,MK6102,2
MON,09:00,10:00,1,LM485,CS6502,2
MON,10:00,11:00,1,LM485,CS6502,2
MON,11:00,12:00,1,LM485,CS6502,2
MON,13:00,14:00,1,LM485,PM6072,2
MON,14:00,15:00,2,LM051,PM6072,2
MON,15:00,16:00,2,LM051,MK6102,2
TUE,14:00,15:00,1,LM485,IN6062,2
TUE,15:00,16:00,1,LM485,IN6062,2
WED,09:00,10:00,2,LM051,EC6062,2
WED,10:00,11:00,2,LM051,EC6062,2
WED,11:00,12:00,1,LM485,CS6502,2
WED,12:00,13:00,1,LM485,CS6502,2
THU,10:00,11:00,1,LM485,MK6102,2
THU,11:00,12:00,1,LM485,MK6102,2
THU,17:00,18:00,1,LM485,EC6062,2
FRI,09:00,10:00,1,LM485,CS6502,2
FRI,10:00,11:00,1,LM485,CS6502,2
FRI,14:00,15:00,1,LM485,EC6062,2
FRI,14:00,15:00,1,LM485,CS6502,2
FRI,15:00,16:00,1,LM485,CS6502,2
MON,09:00,10:00,4,LM118,CE4208,2
MON,10:00,11:00,4,LM118,CE4208,2
MON,10:00,11:00,4,LM118,EE4328,2
MON,11:00,12:00,4,LM118,EE4117,2
TUE,09:00,10:00,4,LM118,RE4017,2
TUE,10:00,11:00,4,LM118,RE4006,2
TUE,11:00,12:00,4,LM118,CE4208,2
TUE,12:00,13:00,4,LM118,CE4208,2
TUE,12:00,13:00,4,LM118,EE4328,2
TUE,13:00,14:00,4,LM118,EE4328,2
TUE,14:00,15:00,4,LM118,ET4088,2
TUE,15:00,16:00,4,LM118,ET4088,2
TUE,16:00,17:00,4,LM118,ET4328,2
TUE,17:00,18:00,4,LM118,ET4328,2
WED,09:00,10:00,4,LM118,EE4908,2
WED,10:00,11:00,4,LM118,EE4908,2
WED,11:00,12:00,4,LM118,EE4908,2
WED,13:00,14:00,4,LM118,EE4908,2
WED,14:00,15:00,4,LM118,EE4908,2
WED,15:00,16:00,4,LM118,EE4908,2
WED,16:00,17:00,4,LM118,EE4908,2
THU,09:00,10:00,4,LM118,PH4042,2
THU,09:00,10:00,4,LM118,EE4408,2
THU,10:00,11:00,4,LM118,EE4408,2
THU,11:00,12:00,4,LM118,ET4088,2
THU,12:00,13:00,4,LM118,PH4042,2
THU,14:00,15:00,3,LM073,EE6032,2
THU,15:00,16:00,3,LM073,EE6032,2
THU,16:00,17:00,4,LM118,EE4117,2
